# Windows Registry Tricks
# Format: name|description|path|valuename|type(d/s)|data
001_disable_usb|Disable USB Storage — ป้องกัน Data Exfiltration + Malware|HKLM\SYSTEM\CurrentControlSet\Services\UsbStor|Start|d|4
002_no_controlpanel|Hide Control Panel — กัน User Config มั่ว|HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer|NoControlPanel|d|1
003_disable_taskmgr|Disable Task Manager — ป้องกัน Kill Process|HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\System|DisableTaskMgr|d|1
004_disable_cmd|Disable Command Prompt|HKCU\Software\Policies\Microsoft\Windows\System|DisableCMD|d|1
005_disable_regedit|Disable Registry Editor — ป้องกันแก้ Registry|HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\System|DisableRegistryTools|d|1
006_disable_autoplay|Disable AutoRun — ป้องกัน AutoRun Malware จาก USB|HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer|NoDriveTypeAutoRun|d|255
007_hide_drive_c|Hide Drive C: — ซ่อน C: จาก File Explorer|HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer|NoDrives|d|4
008_hide_all_drives|Hide ALL Drives — ซ่อนทุก Drive|HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer|NoDrives|d|67108863
009_no_desktop|Remove Desktop Icons — ซ่อน Desktop ทั้งหมด|HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer|NoDesktop|d|1
010_hide_tray|Hide System Tray — ซ่อน Notification Area|HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer|NoTrayItemsDisplay|d|1
011_login_caption|เปลี่ยน Title bar ก่อน Login|HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System|legalnoticecaption|s|⚠️  SYSTEM ALERT ⚠️
012_login_message|เปลี่ยนข้อความก่อน Login — แกล้งเพื่อน|HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System|legalnoticetext|s|Hi! Gorgeous! ✨\nOnly beautiful girls can continue.
013_recyclebin|เปลี่ยนชื่อ Recycle Bin — "Delete Me If YOU DARE 💀"|HKCR\CLSID\{645FF040-5081-101B-9F08-00AA002F954E}|@|s|Delete Me If YOU DARE 💀
014_ie_title|เปลี่ยน Title Internet Explorer — "👾 HACKED"|HKCU\Software\Microsoft\Internet Explorer\Main|Window Title|s|👾 HACKED BY P'NONG 👾
015_registered_owner|เปลี่ยน Registered Owner|HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion|RegisteredOwner|s|Mr. Hacker 🏴‍☠️
016_fast_shutdown|Speed up Shutdown — รอแค่ 1 วินาที|HKCU\Control Panel\Desktop|WaitToKillAppTimeout|d|1000
017_menu_speed|Menu Show Delay = 0 — เมนูปรุ๊บปรั๊บ|HKCU\Control Panel\Desktop|MenuShowDelay|d|0
